epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,348.801,1.17864,1.62678,1.28054,0.75809,0.64525,0.71271,0.54182,1.18065,1.11842,1.31847,0.000475911,0.000475911,0.000475911
2,763.148,1.16646,1.09212,1.31392,0.73676,0.64943,0.70512,0.52742,1.21172,1.15673,1.34858,0.000942817,0.000942817,0.000942817
3,1240.93,1.17653,1.06346,1.32625,0.74285,0.64914,0.6987,0.51472,1.22091,1.24604,1.3502,0.00140029,0.00140029,0.00140029
4,1613.8,1.18535,1.07456,1.3315,0.73512,0.64553,0.70472,0.52307,1.17385,1.19248,1.33535,0.00138656,0.00138656,0.00138656
5,1945.1,1.17048,1.03556,1.32535,0.75755,0.65551,0.71363,0.52513,1.21452,1.13997,1.3409,0.00137241,0.00137241,0.00137241
6,2264.68,1.14338,1.00646,1.30915,0.74397,0.65716,0.72065,0.5337,1.1555,1.12874,1.31839,0.00135826,0.00135826,0.00135826
7,328.234,1.13467,0.97382,1.29969,0.77297,0.66543,0.72706,0.5406,1.16182,1.10281,1.31694,0.00134412,0.00134412,0.00134412
8,847.421,1.11715,0.91533,1.28492,0.75744,0.65962,0.73079,0.55186,1.17673,1.08801,1.31636,0.00132997,0.00132997,0.00132997
9,1343.45,1.10465,0.90182,1.27936,0.76082,0.65251,0.71445,0.53941,1.15531,1.2556,1.33038,0.00131582,0.00131582,0.00131582
10,1649.54,1.1068,0.91871,1.28247,0.7549,0.67688,0.72301,0.53294,1.14059,1.15067,1.31011,0.00130168,0.00130168,0.00130168
11,1850.42,1.10341,0.89523,1.28077,0.76201,0.67212,0.73134,0.54623,1.14466,1.04943,1.30961,0.00128753,0.00128753,0.00128753
12,2072.62,1.07799,0.87849,1.26767,0.76035,0.66487,0.73661,0.5552,1.14309,1.0323,1.29704,0.00127338,0.00127338,0.00127338
13,2302.57,1.09825,0.89134,1.27546,0.76277,0.66915,0.73794,0.55944,1.12286,1.04923,1.28309,0.00125923,0.00125923,0.00125923
14,2544.25,1.10355,0.89825,1.27784,0.75899,0.67411,0.73083,0.5481,1.13411,1.06925,1.30359,0.00124509,0.00124509,0.00124509
15,3095.77,1.0867,0.87931,1.26733,0.76338,0.6662,0.73721,0.55142,1.14135,1.01978,1.32179,0.00123094,0.00123094,0.00123094
16,3335.4,1.07637,0.86062,1.26831,0.74819,0.67079,0.72583,0.54725,1.12473,1.02245,1.29826,0.00121679,0.00121679,0.00121679
17,3602.77,1.08089,0.88455,1.26901,0.74966,0.68134,0.72888,0.54757,1.13221,1.05876,1.29405,0.00120265,0.00120265,0.00120265
18,3970.55,1.07055,0.87563,1.25753,0.7733,0.66751,0.7441,0.56502,1.12012,1.03635,1.28683,0.0011885,0.0011885,0.0011885
19,4237.44,1.06469,0.84721,1.25456,0.78469,0.6788,0.75478,0.57338,1.12597,1.0156,1.30325,0.00117435,0.00117435,0.00117435
20,5131.17,1.07904,0.86005,1.2541,0.78381,0.66595,0.74729,0.55965,1.10883,1.02937,1.29835,0.00116021,0.00116021,0.00116021
21,5362.98,1.07017,0.85306,1.24797,0.78311,0.67767,0.74464,0.56997,1.11293,1.01239,1.29762,0.00114606,0.00114606,0.00114606
22,5593.55,1.06691,0.85841,1.25359,0.77213,0.68017,0.74265,0.56057,1.11828,1.02117,1.29812,0.00113191,0.00113191,0.00113191
23,5961.24,1.05156,0.84155,1.24296,0.74804,0.68234,0.73137,0.55296,1.12538,1.02621,1.30552,0.00111776,0.00111776,0.00111776
24,6200.99,1.04862,0.83685,1.23702,0.77958,0.68935,0.75532,0.57553,1.10391,0.97548,1.28402,0.00110362,0.00110362,0.00110362
25,6427.34,1.0546,0.82951,1.23542,0.78248,0.66989,0.73338,0.55798,1.10716,1.08973,1.29298,0.00108947,0.00108947,0.00108947
26,6631.26,1.05262,0.81248,1.24006,0.76328,0.68875,0.73962,0.56828,1.10972,1.00906,1.29106,0.00107532,0.00107532,0.00107532
27,6983.88,1.04032,0.80546,1.23263,0.78447,0.68973,0.75537,0.57543,1.10703,0.98664,1.27844,0.00106118,0.00106118,0.00106118
28,7642.99,1.03729,0.80401,1.22757,0.7818,0.67867,0.74618,0.57159,1.09249,1.01492,1.28283,0.00104703,0.00104703,0.00104703
29,8561.24,1.04224,0.79995,1.23107,0.77606,0.68721,0.74886,0.57149,1.0907,1.0057,1.27142,0.00103288,0.00103288,0.00103288
30,8795.81,1.03003,0.78738,1.22509,0.76091,0.68436,0.74193,0.56717,1.08872,1.00462,1.28088,0.00101873,0.00101873,0.00101873
31,9051.06,1.03529,0.8019,1.21934,0.76864,0.69841,0.75381,0.5816,1.09665,0.96641,1.28345,0.00100459,0.00100459,0.00100459
32,9400.68,1.02412,0.80117,1.22117,0.78755,0.68638,0.75919,0.58244,1.09818,0.99662,1.27243,0.00099044,0.00099044,0.00099044
33,9634.85,1.02316,0.78858,1.22584,0.7815,0.68385,0.75244,0.58248,1.09893,0.96867,1.26149,0.000976293,0.000976293,0.000976293
34,10693.8,1.02626,0.78399,1.21241,0.7796,0.68543,0.75442,0.58318,1.08971,0.96549,1.26011,0.000962146,0.000962146,0.000962146
35,10917.2,1.02187,0.77115,1.2153,0.77562,0.68182,0.75419,0.58326,1.08487,0.96862,1.27742,0.000947999,0.000947999,0.000947999
36,11839.7,1.01191,0.77279,1.20795,0.7735,0.67941,0.74846,0.57999,1.07222,0.99288,1.27002,0.000933851,0.000933851,0.000933851
37,12075.3,1.0118,0.76907,1.2079,0.78471,0.69604,0.76267,0.59105,1.0727,0.94833,1.26269,0.000919704,0.000919704,0.000919704
38,12380.2,1.0092,0.76134,1.1991,0.778,0.69636,0.76644,0.59157,1.08233,0.95853,1.26455,0.000905557,0.000905557,0.000905557
39,12810.5,1.00535,0.76262,1.20288,0.78183,0.68127,0.74759,0.58178,1.0725,0.96894,1.26143,0.00089141,0.00089141,0.00089141
40,13041.5,0.99883,0.75126,1.20268,0.79584,0.68517,0.76148,0.59269,1.0696,0.96532,1.26367,0.000877263,0.000877263,0.000877263
41,13273.3,0.99822,0.75305,1.20264,0.78652,0.69083,0.76094,0.59158,1.07968,0.96532,1.2622,0.000863116,0.000863116,0.000863116
42,13606.1,0.99965,0.75308,1.19868,0.78557,0.68543,0.75699,0.58871,1.06759,0.96731,1.25306,0.000848969,0.000848969,0.000848969
43,13829.9,0.99871,0.75619,1.19785,0.78769,0.69441,0.7591,0.5924,1.06616,0.9756,1.25876,0.000834822,0.000834822,0.000834822
44,14656.1,0.99213,0.74118,1.19404,0.7923,0.69121,0.76604,0.59465,1.06827,0.95521,1.25672,0.000820675,0.000820675,0.000820675
45,15372.4,0.99275,0.74268,1.19343,0.79013,0.69034,0.76445,0.59864,1.06824,0.95267,1.26382,0.000806528,0.000806528,0.000806528
