epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,328.821,1.30135,1.94094,1.12706,0.8641,0.77785,0.82339,0.65193,0.92011,0.75638,1.27743,0.000472906,0.000472906,0.000472906
2,518.111,1.18714,0.98092,1.13531,0.87052,0.75017,0.80466,0.62035,0.94221,0.71226,1.28353,0.000930445,0.000930445,0.000930445
3,778.802,1.17715,0.92622,1.14869,0.87512,0.77241,0.82686,0.64488,0.9605,0.71163,1.41394,0.00136912,0.00136912,0.00136912
4,913.153,1.20026,0.91065,1.16337,0.86582,0.74449,0.80167,0.61994,0.9492,0.70551,1.31172,0.00134412,0.00134412,0.00134412
5,1050.45,1.1842,0.88953,1.13462,0.85544,0.78555,0.83243,0.64383,0.96441,0.70035,1.31071,0.00131582,0.00131582,0.00131582
6,1278.67,1.18249,0.85127,1.15378,0.87967,0.79493,0.83856,0.6607,0.92445,0.68091,1.27898,0.00128753,0.00128753,0.00128753
7,1427.48,1.1535,0.82804,1.14043,0.86886,0.78901,0.83688,0.65237,0.92704,0.68343,1.31675,0.00125923,0.00125923,0.00125923
8,1835.04,1.14195,0.82974,1.15144,0.88838,0.78118,0.84036,0.66084,0.93556,0.67297,1.2892,0.00123094,0.00123094,0.00123094
9,2019.84,1.13163,0.81201,1.1547,0.87751,0.78687,0.84219,0.65762,0.9233,0.67581,1.27865,0.00120265,0.00120265,0.00120265
10,2217.79,1.14527,0.82071,1.15886,0.86953,0.79699,0.84568,0.66181,0.93992,0.66288,1.30079,0.00117435,0.00117435,0.00117435
11,2352.72,1.14837,0.81841,1.13481,0.88551,0.79203,0.84551,0.66695,0.91345,0.64982,1.30174,0.00114606,0.00114606,0.00114606
12,2496.35,1.10252,0.78347,1.12601,0.88699,0.8009,0.84747,0.66297,0.92943,0.64092,1.30591,0.00111776,0.00111776,0.00111776
13,2926.37,1.11454,0.7816,1.12194,0.88622,0.79136,0.848,0.6674,0.90848,0.63925,1.25518,0.00108947,0.00108947,0.00108947
14,3221.61,1.07789,0.74427,1.10522,0.88747,0.80779,0.85045,0.67047,0.89935,0.62995,1.2583,0.00106118,0.00106118,0.00106118
15,3514.6,1.1049,0.76935,1.11627,0.88805,0.7927,0.84185,0.66346,0.91281,0.64285,1.27174,0.00103288,0.00103288,0.00103288
